0,brace
1,legerLine
2,barlineSingle
3,barlineHeavy
4,barlineDashed
5,barlineDotted
6,repeatDot
7,segno
8,coda
9,gClef
10,cClefAlto
11,cClefTenor
12,fClef
13,unpitchedPercussionClef1
14,gClefChange
15,cClefAltoChange
16,cClefTenorChange
17,fClefChange
18,clef8
19,clef15
20,timeSig0
21,timeSig1
22,timeSig2
23,timeSig3
24,timeSig4
25,timeSig5
26,timeSig6
27,timeSig7
28,timeSig8
29,timeSig9
30,timeSig12
31,timeSig16
32,timeSigCommon
33,timeSigCutCommon
34,noteheadBlack
35,noteheadBlackSmall
36,noteheadHalf
37,noteheadHalfSmall
38,noteheadWhole
39,noteheadWholeSmall
40,noteheadDoubleWhole
41,noteheadDoubleWholeSmall
42,augmentationDot
43,stem
44,tremolo1
45,tremolo2
46,tremolo3
47,tremolo4
48,tremolo5
49,flag8thUp
50,flag8thUpSmall
51,flag16thUp
52,flag32ndUp
53,flag64thUp
54,flag128thUp
55,flag8thDown
56,flag8thDownSmall
57,flag16thDown
58,flag32ndDown
59,flag64thDown
60,flag128thDown
61,accidentalFlat
62,accidentalFlatSmall
63,accidentalNatural
64,accidentalNaturalSmall
65,accidentalSharp
66,accidentalSharpSmall
67,accidentalDoubleSharp
68,accidentalDoubleFlat
69,keyFlat
70,keyNatural
71,keySharp
72,articAccentAbove
73,articAccentBelow
74,articStaccatoAbove
75,articStaccatoBelow
76,articTenutoAbove
77,articTenutoBelow
78,articStaccatissimoAbove
79,articStaccatissimoBelow
80,articMarcatoAbove
81,articMarcatoBelow
82,fermataAbove
83,fermataBelow
84,caesura
85,restMaxima
86,restLonga
87,restDoubleWhole
88,restWhole
89,restHalf
90,restQuarter
91,rest8th
92,rest16th
93,rest32nd
94,rest64th
95,rest128th
96,restHNr
97,dynamicPiano
98,dynamicMezzo
99,dynamicForte
100,dynamicPPPPP
101,dynamicPPPP
102,dynamicPPP
103,dynamicPP
104,dynamicMP
105,dynamicMF
106,dynamicFF
107,dynamicFFF
108,dynamicFFFF
109,dynamicFFFFF
110,dynamicFortePiano
111,dynamicSforzando1
112,dynamicSforzato
113,dynamicRinforzando2
114,graceNoteAcciaccaturaStemUp
115,graceNoteAppoggiaturaStemUp
116,graceNoteAcciaccaturaStemDown
117,graceNoteAppoggiaturaStemDown
118,ornamentTrill
119,ornamentTurn
120,ornamentTurnInverted
121,ornamentMordent
122,stringsDownBow
123,stringsUpBow
124,arpeggiato
125,keyboardPedalPed
126,keyboardPedalUp
127,tuplet3
128,tuplet6
129,fingering0
130,fingering1
131,fingering2
132,fingering3
133,fingering4
134,fingering5
135,staffLine
136,slur
137,beam
138,tie
139,hairpin
140,tuplet1
141,tuplet2
142,tuplet4
143,tuplet5
144,tuplet7
145,tuplet8
146,tuplet9
147,tupletBracket
148,OttavaText_15mb
149,OttavaText_8vb
150,OttavaText_8va
151,OttavaText_15ma
152,text_script
153,text_field
154,restHBar
155,combTimeSignature
156,combStaff
157,OttavaBracket
